index;id;smiles;mols;Predicted_pKi;QED;synthetic_accesibility;LLM-configuration;MW;FCsp3;HBA;HBD;Rotatable_bonds;RingCount;TPSA;LogP
219;t07_C_Non_seq_45;CC=C(C)CN(CC)C(=O)CN(C)S(=O)(=O)c1c(C)n[nH]c1C;🤷‍♂️;7.552490234375;0.7601986045673912;2.875577465281527;t07_C;342.17256169200004;0.6;4;1;7;1;86.37;1.46174
330;t1_2_C_Non_seq_72;CCCCC1NS(=O)(=O)c2cccc(C(N)=O)c2C1Nc1ccccc1F;🤷‍♂️;7.339583396911621;0.7045933223212459;3.620404622219093;t1_2_C;391.136590784;0.3157894736842105;4;3;6;3;101.28999999999999;2.9285000000000005
39;Seq_39;CC1=CC=C(CN2CCOCC2)C(=C1)C(=O)NC1=C(O)C=CC2=C1C=CC=C2;🤷‍♂️;7.251758575439453;0.6773414197852884;2.1829596814147987;Seq;376.178692628;0.2608695652173913;4;2;4;4;61.8;3.9383200000000027
340;t1_2_C_Non_seq_82;CCOc1ccc(N(C(C)C(=O)Nc2ccccc2)S(C)(=O)=O)cc1C;🤷‍♂️;7.186247825622559;0.8051775802029517;2.4942305018781425;t1_2_C;376.14567824799997;0.3157894736842105;4;1;7;2;75.71000000000001;3.1869200000000015
213;t07_C_Non_seq_39;CC#Cc1cccc(N(C(C)C)S(=O)(=O)c2ccc(C(N)=O)cc2)c1;🤷‍♂️;7.052791595458984;0.8366287092013666;2.462541055181168;t07_C;356.1194635;0.21052631578947367;3;1;5;2;80.47;2.760600000000001
267;t1_2_C_Non_seq_9;CC=CCN(Cc1noc(CC)n1)C(=O)c1coc(COc2ccc3c(c2)CCC3)n1;🤷‍♂️;7.026726722717285;0.48262973826565186;2.9719744728331676;t1_2_C;422.195405312;0.391304347826087;7;0;9;4;94.49000000000001;3.906200000000003
63;Seq_63;NC(=O)C1=NN(CC2=CC=C(F)C=C2)C2=CC=CC=C12;🤷‍♂️;6.9198150634765625;0.7928259188602657;1.8666178196829364;Seq;269.096440224;0.06666666666666667;3;1;3;3;60.910000000000004;2.3225999999999996
308;t1_2_C_Non_seq_50;CCn1cnc2cc(C(=O)Nc3ccc(F)cc3OCC3CC3)ccc21;🤷‍♂️;6.804948806762695;0.7211814787071942;2.20867605911023;t1_2_C;353.15395509999996;0.3;4;1;6;4;56.150000000000006;4.236400000000003
64;Seq_64;CC(C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C;🤷‍♂️;6.792782783508301;0.5387576963002539;3.472496501493083;Seq;360.30283052;0.75;2;1;8;2;29.46;7.033860000000009
280;t1_2_C_Non_seq_22;CCOC(=O)c1nc2c(c(C(=O)NCCNC3CCCCC3)c1C)CCC2;🤷‍♂️;6.754210472106934;0.5673627609355003;2.5894014863135464;t1_2_C;373.236541852;0.6666666666666666;5;2;7;3;80.32;2.7075199999999997
